CRASH_ID,CRASH_DATETIME,ROUTE,MILEPOINT,LAT_UTM_Y,LONG_UTM_X,MAIN_ROAD_NAME,CITY,COUNTY_NAME,CRASH_SEVERITY_ID,WORK_ZONE_RELATED,PEDESTRIAN_INVOLVED,BICYCLIST_INVOLVED,MOTORCYCLE_INVOLVED,IMPROPER_RESTRAINT,UNRESTRAINED,DUI,INTERSECTION_RELATED,WILD_ANIMAL_RELATED,DOMESTIC_ANIMAL_RELATED,OVERTURN_ROLLOVER,COMMERCIAL_MOTOR_VEH_INVOLVED,TEENAGE_DRIVER_INVOLVED,OLDER_DRIVER_INVOLVED,NIGHT_DARK_CONDITION,SINGLE_VEHICLE,DISTRACTED_DRIVING,DROWSY_DRIVING,ROADWAY_DEPARTURE
10814306,2016-01-27T16:25:00.000000+0000,84,14.9,4640522.675,368521.47930000006,I-84,OUTSIDE CITY LIMITS,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,true
10838491,2016-04-12T14:00:00.000000+0000,84,30.5,4629479.7129999995,388784.07540000003,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false
10833242,2016-03-20T21:20:00.000000+0000,15,381.028,4619961.039,400787.8848,I-15,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
10836928,2016-04-09T17:35:00.000000+0000,1110,10.02,4618344.858999999,401749.9221,1000 W,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
10820702,2016-02-17T11:25:00.000000+0000,32815,0.1,4619847.758,403598.80269999994,1500 SOUTH 300 EAST,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
10834087,2016-03-23T11:50:00.000000+0000,84,31.8,4628765.334,390731.07920000004,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
10824777,2016-02-20T08:05:00.000000+0000,15,376.795441,4615122.0,404656.0,I-15,ELWOOD,BOX ELDER,3,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true
10830451,2016-03-15T17:33:00.000000+0000,15,381.27,4620349.712,400789.7983,I-15,OUTSIDE CITY LIMITS,BOX ELDER,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10853232,2016-06-04T00:00:00.000000+0000,83,23.73,4620026.9629999995,380752.6639,"SR 83 FAUST VALLEY ROAD, HOWEL",HOWELL,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false
10864798,2016-07-11T13:30:00.000000+0000,15,381.5,4620724.212,400807.9412,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true
10864842,2016-07-12T13:00:00.000000+0000,13,19,4616571.635,404995.62940000003,SR-13,ELWOOD,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false
10864844,2016-07-12T15:00:00.000000+0000,15,0.25,4615071.092,405040.23850000004,I-15,ELWOOD,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10864845,2016-07-14T22:45:00.000000+0000,84,24.6,4632955.472000001,380788.8638,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false
10860061,2016-06-25T01:19:00.000000+0000,84,23.9,4633888.818999999,380150.9571,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false
10861627,2016-07-01T00:47:00.000000+0000,84,9.7,4645232.316,361799.6696,I-84,OUTSIDE CITY LIMITS,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false
10852768,2016-06-02T15:55:00.000000+0000,15,381.1,4620075.965,400788.43080000003,I-15,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
10860067,2016-06-18T21:22:00.000000+0000,84,15.185,4640173.377,368811.55269999994,I-84,OUTSIDE CITY LIMITS,BOX ELDER,5,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,true,false,true
10865789,2016-07-19T11:08:00.000000+0000,84,12.5,4642175.598,365067.99400000006,I-84,OUTSIDE CITY LIMITS,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
10865790,2016-07-20T06:32:00.000000+0000,84,38.1,4620903.765,396078.8961,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true
10858157,2016-06-24T23:44:00.000000+0000,102,15.51,4618395.7700000005,401771.5982,SR-102,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false
10849854,2016-05-21T16:33:00.000000+0000,32815,0.1,4620353.162999999,403432.0503,1150 COTTONWOOD CT,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
10865965,2016-07-23T15:25:00.000000+0000,32815,0.1,4621568.279,403342.63169999997,100 SOUTH,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10855686,2016-06-12T06:46:00.000000+0000,102,9.5,4616731.906,393674.17819999997,SR-102,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10873276,2016-08-07T00:20:00.000000+0000,1132,1.758,4623384.844,406317.5071,4459 W 13600 N,OUTSIDE CITY LIMITS,BOX ELDER,3,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,true,false,false,true
10864153,2016-07-16T00:00:00.000000+0000,37712,0.1,4618865.4860000005,402239.70950000006,731 W 350 N,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
10873010,2016-08-05T11:16:00.000000+0000,84,32.4,4628394.470000001,391623.855,I-84,OUTSIDE CITY LIMITS,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true
10873012,2016-08-01T15:42:00.000000+0000,13,18.404,4615612.322,405006.52150000003,SR-13,ELWOOD,BOX ELDER,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
10849573,2016-05-14T21:04:00.000000+0000,84,29.4,4630151.714,387160.04289999994,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false
10856331,2016-05-27T00:01:00.000000+0000,84,11.9,4642777.991,364314.30779999995,I-84,OUTSIDE CITY LIMITS,BOX ELDER,3,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false
10856335,2016-06-17T19:26:00.000000+0000,84,15.605,4639616.022,369189.42250000004,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
10850667,2016-05-21T08:30:00.000000+0000,15,377.683892,4615915.0,403461.0,I-15,ELWOOD,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10863018,2016-07-13T05:50:00.000000+0000,102,11,4618303.95,394510.94560000004,SR-102,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
